season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2014,10,6,55,27.5,101.85,5,0,0,0,23*,0,4,51.25,8.66,35.5,3/24,23,1,3,24,261,0,3.945585808472737,1.7909661192238495,6.092064582731288,4.2323,Average,103,82,1139,80,1,0,0,9
2016,4,3,11,3.66,84.61,0,0,0,0,7,0,0,0.0,0.0,0.0,,7,0,0,0,261,0,0.41344263556314553,0.0,6.092064582731288,1.6096,Poor,103,82,1139,80,1,0,0,9
2017,1,1,2,2.0,66.66,0,0,0,0,2,0,0,0.0,0.0,0.0,,2,0,0,0,261,0,0.037113199714171013,0.0,6.092064582731288,1.5274,Poor,103,82,1139,80,1,0,0,9
2018,6,1,1,1.0,16.66,0,0,0,0,1,0,5,27.0,5.86,27.6,3/26,1,0,3,26,262,0,0.0023477036545492547,3.9736310107564314,3.54662178647109,1.6894,Poor,8,2,7,9,0,0,0,2
2019,2,1,6,6.0,54.54,0,0,0,0,6,0,4,16.75,9.34,10.75,3/26,6,0,3,26,262,0,0.2528354663336554,3.5368713142999324,3.54662178647109,1.7239,Poor,8,2,7,9,0,0,0,2
2016,5,5,42,8.4,102.43,5,0,0,0,27,0,0,0.0,0.0,0.0,,27,0,0,0,263,0,2.1564913107827968,0.0,6.736339700189873,2.9093,Below Average,133,127,3600,0,23,1,49,11
2017,11,10,277,27.7,134.46,29,13,1,0,61,0,0,0.0,0.0,0.0,,61,0,0,0,263,0,6.552561317073847,0.0,6.736339700189873,5.8226,Good,133,127,3600,0,23,1,49,11
2018,14,12,275,22.91,149.45,22,17,2,0,62,0,0,0.0,0.0,0.0,,62,0,0,0,263,0,6.4249354318661736,0.0,6.736339700189873,5.6366,Good,133,127,3600,0,23,1,49,11
2019,7,6,101,16.83,101.0,8,4,0,0,28,0,0,0.0,0.0,0.0,,28,0,0,0,263,0,4.089587232379441,0.0,6.736339700189873,4.0592,Average,133,127,3600,0,23,1,49,11
2020,14,13,516,57.33,145.76,36,30,4,0,99,0,0,0.0,0.0,0.0,,99,0,0,0,263,0,8.559285476718765,0.0,6.736339700189873,7.5935,Very Good,133,127,3600,0,23,1,49,11
2021,10,10,241,26.77,133.88,21,10,2,0,84,0,0,0.0,0.0,0.0,,84,0,0,0,263,0,6.304579246789519,0.0,6.736339700189873,5.7071,Good,133,127,3600,0,23,1,49,11
2022,14,14,418,32.15,120.11,45,11,3,0,81*,13,0,0.0,0.0,0.0,,81,1,0,0,263,0,7.1789235269391085,0.0,6.736339700189873,6.2729,Good,133,127,3600,0,23,1,49,11
2023,15,15,454,30.27,142.76,54,18,3,0,75,10,0,0.0,0.0,0.0,,75,0,0,0,263,0,7.452568958002307,0.0,6.736339700189873,6.6371,Good,133,127,3600,0,23,1,49,11
2024,14,14,320,22.86,148.83,35,16,1,0,69,9,0,0.0,0.0,0.0,,69,0,0,0,263,0,6.627726096452156,0.0,6.736339700189873,5.6896,Good,133,127,3600,0,23,1,49,11
2025,14,13,354,35.4,152.58,33,15,1,1,106*,8,0,0.0,0.0,0.0,,106,1,0,0,263,0,7.416478828674204,0.0,6.736339700189873,6.4658,Good,133,127,3600,0,23,1,49,11
2026,15,15,602,40.13,182.42,60,32,6,0,91,9,0,0.0,0.0,0.0,,91,0,0,0,263,0,8.589962494253028,0.0,6.736339700189873,7.4825,Very Good,133,127,3600,0,23,1,49,11
2011,1,1,7,0.0,175.0,1,0,0,0,7*,0,0,0.0,0.0,0.0,,7,1,0,0,264,0,0.0,0.0,6.708162813864161,1.717,Poor,1,1,7,0,0,0,0,1
